Alarm Triggered: Id=875627671,Tag=aaa,Tag value= 40.67366430758 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:51:08 AM
Alarm Triggered: Id=1305583865,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:51:21 AM
Alarm Triggered: Id=1305712568,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:51:21 AM
Alarm Triggered: Id=1199542986,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:51:39 AM
Alarm Triggered: Id=1199168694,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:51:39 AM
Alarm Triggered: Id=1564597569,Tag=aaa,Tag value= 54.4639035015027 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:51:49 AM
Alarm Triggered: Id=1766607101,Tag=aaa,Tag value= 45.3990499739547 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:52:09 AM
Alarm Triggered: Id=1868014017,Tag=aaa,Tag value= 83.8670567945424 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:52:19 AM
Alarm Triggered: Id=1868034016,Tag=aaa,Tag value= 83.8670567945424 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:52:19 AM
Alarm Triggered: Id=1700660706,Tag=aaa,Tag value= 99.8629534754574 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:52:29 AM
Alarm Triggered: Id=1700688669,Tag=aaa,Tag value= 99.8629534754574 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:52:29 AM
Alarm Triggered: Id=2075906706,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:52:39 AM
Alarm Triggered: Id=2074576980,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:52:39 AM
Alarm Triggered: Id=2074605178,Tag=aaa,Tag value= 89.1006524188368 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:52:39 AM
Alarm Triggered: Id=2126110278,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:52:44 AM
Alarm Triggered: Id=1907331600,Tag=aaa,Tag value= 54.4639035015027 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:52:49 AM
Alarm Triggered: Id=2005011442,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:52:59 AM
Alarm Triggered: Id=-1971222688,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:53:04 AM
Alarm Triggered: Id=-1916813212,Tag=aaa,Tag value= 45.3990499739547 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:53:09 AM
Alarm Triggered: Id=-2088021202,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:53:19 AM
Alarm Triggered: Id=-2088264236,Tag=aaa,Tag value= 83.8670567945424 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:53:19 AM
Alarm Triggered: Id=-2088252432,Tag=aaa,Tag value= 83.8670567945424 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:53:19 AM
Alarm Triggered: Id=-2037771435,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:53:24 AM
Alarm Triggered: Id=-1718694365,Tag=aaa,Tag value= 99.8629534754574 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:53:29 AM
Alarm Triggered: Id=-1718719090,Tag=aaa,Tag value= 99.8629534754574 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:53:29 AM
Alarm Triggered: Id=895086429,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:58:18 AM
Alarm Triggered: Id=894741601,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:58:18 AM
Alarm Triggered: Id=1219821532,Tag=joe,Tag value= 623.530998930117 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:23 AM
Alarm Triggered: Id=1270461306,Tag=joe,Tag value= 631.48885324201 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:28 AM
Alarm Triggered: Id=1269023871,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:58:28 AM
Alarm Triggered: Id=1269034235,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:58:28 AM
Alarm Triggered: Id=1320692362,Tag=joe,Tag value= 598.144445893422 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:33 AM
Alarm Triggered: Id=1101315845,Tag=aaa,Tag value= 91.3545457642601 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:58:38 AM
Alarm Triggered: Id=1101279778,Tag=aaa,Tag value= 91.3545457642601 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:58:38 AM
Alarm Triggered: Id=1199986950,Tag=joe,Tag value= 685.735047834802 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:48 AM
Alarm Triggered: Id=1202505371,Tag=aaa,Tag value= 58.7785252292473 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:58:48 AM
Alarm Triggered: Id=1518652562,Tag=joe,Tag value= 799.648898932919 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:53 AM
Alarm Triggered: Id=1569277733,Tag=joe,Tag value= 766.304491584331 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:58:58 AM
Alarm Triggered: Id=1351538161,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:03 AM
Alarm Triggered: Id=1404841187,Tag=aaa,Tag value= 40.67366430758 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:08 AM
Alarm Triggered: Id=1452502768,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:13 AM
Alarm Triggered: Id=1771212360,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1770344285,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1770438013,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1821398911,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:23 AM
Alarm Triggered: Id=1871628069,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:28 AM
Alarm Triggered: Id=1871600205,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:28 AM
Alarm Triggered: Id=1704700343,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:38 AM
Alarm Triggered: Id=1704380627,Tag=aaa,Tag value= 91.3545457642601 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:38 AM
